date,IPG3113N
10/1/1985,112.2728
11/1/1985,113.6916
12/1/1985,117.1114
1/1/1986,97.3994
2/1/1986,93.6471
3/1/1986,78.8262
4/1/1986,73.6548
5/1/1986,76.5236
6/1/1986,76.7767
7/1/1986,73.4034
8/1/1986,79.5478
9/1/1986,88.4485
10/1/1986,115.9014
11/1/1986,119.4066
12/1/1986,115.4294
1/1/1987,97.1736
2/1/1987,94.2793
3/1/1987,83.6225
4/1/1987,77.3408
5/1/1987,78.0336
6/1/1987,79.1708
7/1/1987,76.1298
8/1/1987,83.526
9/1/1987,90.7704
10/1/1987,121.6259
11/1/1987,124.8565
12/1/1987,122.6595
1/1/1988,95.8055
2/1/1988,95.301
3/1/1988,89.874
4/1/1988,80.8266
5/1/1988,82.4593
6/1/1988,86.7724
7/1/1988,90.7579
8/1/1988,98.0626
9/1/1988,102.5171
10/1/1988,125.7369
11/1/1988,123.499
12/1/1988,122.454
1/1/1989,102.9508
2/1/1989,102.3499
3/1/1989,93.4219
4/1/1989,88.7382
5/1/1989,87.9183
6/1/1989,90.5658
7/1/1989,89.734
8/1/1989,96.5697
9/1/1989,101.0261
10/1/1989,120.0367
11/1/1989,123.3104
12/1/1989,125.996
1/1/1990,99.9894
2/1/1990,101.2116
3/1/1990,94.8477
4/1/1990,88.4239
5/1/1990,88.6775
6/1/1990,92.761
7/1/1990,96.9885
8/1/1990,102.3169
9/1/1990,108.6388
10/1/1990,124.4571
11/1/1990,133.202
12/1/1990,134.4426
1/1/1991,107.4831
2/1/1991,111.408
3/1/1991,104.8112
4/1/1991,96.0485
5/1/1991,94.9222
6/1/1991,102.6901
7/1/1991,100.1583
8/1/1991,109.7879
9/1/1991,111.1361
10/1/1991,124.0982
11/1/1991,129.3138
12/1/1991,124.9696
1/1/1992,104.3101
2/1/1992,102.787
3/1/1992,94.9205
4/1/1992,92.0467
5/1/1992,89.7304
6/1/1992,92.8576
7/1/1992,92.1938
8/1/1992,96.2302
9/1/1992,104.1677
10/1/1992,118.988
11/1/1992,122.1755
12/1/1992,121.4803
1/1/1993,105.0701
2/1/1993,102.2842
3/1/1993,94.8146
4/1/1993,89.6044
5/1/1993,88.4397
6/1/1993,94.8144
7/1/1993,95.7128
8/1/1993,103.4214
9/1/1993,108.6304
10/1/1993,124.8315
11/1/1993,124.8048
12/1/1993,122.772
1/1/1994,105.333
2/1/1994,100.7475
3/1/1994,98.4825
4/1/1994,89.3258
5/1/1994,87.0124
6/1/1994,93.7943
7/1/1994,96.4548
8/1/1994,102.9823
9/1/1994,109.7563
10/1/1994,123.0683
11/1/1994,123.1853
12/1/1994,124.9834
1/1/1995,107.7064
2/1/1995,99.2227
3/1/1995,96.1946
4/1/1995,94.2656
5/1/1995,93.5966
6/1/1995,98.2886
7/1/1995,98.2274
8/1/1995,102.2729
9/1/1995,107.2035
10/1/1995,120.4112
11/1/1995,123.8626
12/1/1995,128.9061
1/1/1996,104.1852
2/1/1996,105.5477
3/1/1996,102.9177
4/1/1996,94.808
5/1/1996,97.0557
6/1/1996,100.4093
7/1/1996,98.2829
8/1/1996,108.0978
9/1/1996,114.7798
10/1/1996,126.2366
11/1/1996,133.8463
12/1/1996,136.151
1/1/1997,110.6349
2/1/1997,109.6545
3/1/1997,106.5499
4/1/1997,98.1605
5/1/1997,97.3783
6/1/1997,101.575
7/1/1997,98.3122
8/1/1997,109.9673
9/1/1997,115.0362
10/1/1997,129.5071
11/1/1997,135.1607
12/1/1997,136.0268
1/1/1998,119.7766
2/1/1998,117.1886
3/1/1998,110.8164
4/1/1998,106.1647
5/1/1998,107.1149
6/1/1998,110.8432
7/1/1998,109.0117
8/1/1998,117.6771
9/1/1998,120.9282
10/1/1998,132.6661
11/1/1998,136.9855
12/1/1998,135.9605
1/1/1999,117.3789
2/1/1999,114.6903
3/1/1999,107.101
4/1/1999,106.2725
5/1/1999,107.8371
6/1/1999,108.3356
7/1/1999,107.8132
8/1/1999,112.5035
9/1/1999,116.6453
10/1/1999,131.6485
11/1/1999,131.763
12/1/1999,134.5654
1/1/2000,123.1325
2/1/2000,119.7423
3/1/2000,113.9508
4/1/2000,115.9481
5/1/2000,108.7202
6/1/2000,114.2071
7/1/2000,111.8737
8/1/2000,117.9027
9/1/2000,125.6499
10/1/2000,136.8146
11/1/2000,135.6331
12/1/2000,138.704
1/1/2001,122.5767
2/1/2001,121.8879
3/1/2001,118.5969
4/1/2001,114.6967
5/1/2001,112.9349
6/1/2001,115.3333
7/1/2001,113.4896
8/1/2001,119.6772
9/1/2001,123.5141
10/1/2001,125.5298
11/1/2001,128.7324
12/1/2001,129.6597
1/1/2002,117.5658
2/1/2002,114.5385
3/1/2002,110.3068
4/1/2002,104.6927
5/1/2002,101.8499
6/1/2002,112.2162
7/1/2002,110.4021
8/1/2002,117.5309
9/1/2002,119.4877
10/1/2002,124.0385
11/1/2002,128.5738
12/1/2002,124.1789
1/1/2003,113.0303
2/1/2003,111.1786
3/1/2003,111.2168
4/1/2003,105.1536
5/1/2003,107.6101
6/1/2003,111.6628
7/1/2003,102.8517
8/1/2003,113.1477
9/1/2003,116.8135
10/1/2003,125.186
11/1/2003,132.7907
12/1/2003,128.8211
1/1/2004,116.189
2/1/2004,117.67
3/1/2004,103.9096
4/1/2004,102.2036
5/1/2004,109.8036
6/1/2004,106.296
7/1/2004,106.1117
8/1/2004,116.232
9/1/2004,120.729
10/1/2004,132.3043
11/1/2004,133.1452
12/1/2004,129.9987
1/1/2005,124.5687
2/1/2005,123.926
3/1/2005,107.2575
4/1/2005,106.8015
5/1/2005,111.4551
6/1/2005,107.194
7/1/2005,110.2132
8/1/2005,114.8196
9/1/2005,119.7252
10/1/2005,137.1695
11/1/2005,136.3902
12/1/2005,139.9153
1/1/2006,118.2816
2/1/2006,117.8165
3/1/2006,108.4194
4/1/2006,107.5783
5/1/2006,101.9894
6/1/2006,101.9425
7/1/2006,101.7114
8/1/2006,112.0216
9/1/2006,118.6654
10/1/2006,129.6397
11/1/2006,130.371
12/1/2006,132.0261
1/1/2007,121.7363
2/1/2007,116.4986
3/1/2007,112.6224
4/1/2007,99.44
5/1/2007,98.0703
6/1/2007,94.932
7/1/2007,91.3872
8/1/2007,100.7496
9/1/2007,110.1524
10/1/2007,115.9774
11/1/2007,118.4564
12/1/2007,120.7117
1/1/2008,108.7465
2/1/2008,101.782
3/1/2008,97.206
4/1/2008,91.8637
5/1/2008,88.9254
6/1/2008,89.0084
7/1/2008,85.1186
8/1/2008,88.5622
9/1/2008,103.2736
10/1/2008,114.0601
11/1/2008,115.8743
12/1/2008,101.7672
1/1/2009,89.9004
2/1/2009,88.9836
3/1/2009,85.5603
4/1/2009,79.7102
5/1/2009,80.2515
6/1/2009,79.5651
7/1/2009,82.3126
8/1/2009,89.0494
9/1/2009,101.1519
10/1/2009,123.6728
11/1/2009,117.0719
12/1/2009,116.5435
1/1/2010,100.3797
2/1/2010,99.0155
3/1/2010,91.9654
4/1/2010,89.4914
5/1/2010,89.9713
6/1/2010,89.5047
7/1/2010,96.4638
8/1/2010,106.7689
9/1/2010,115.8542
10/1/2010,126.2773
11/1/2010,117.7195
12/1/2010,118.7519
1/1/2011,103.0635
2/1/2011,102.5548
3/1/2011,98.9834
4/1/2011,97.5274
5/1/2011,91.3629
6/1/2011,89.6899
7/1/2011,89.6268
8/1/2011,91.8899
9/1/2011,93.9062
10/1/2011,116.7634
11/1/2011,116.8258
12/1/2011,114.9563
1/1/2012,99.9662
2/1/2012,99.0417
3/1/2012,94.1484
4/1/2012,87.695
5/1/2012,85.351
6/1/2012,86.5815
7/1/2012,89.5217
8/1/2012,98.2967
9/1/2012,112.2694
10/1/2012,114.9091
11/1/2012,116.0791
12/1/2012,116.1401
1/1/2013,107.0733
2/1/2013,102.0263
3/1/2013,102.6319
4/1/2013,95.3206
5/1/2013,91.7584
6/1/2013,91.8125
7/1/2013,92.4299
8/1/2013,100.3593
9/1/2013,105.5167
10/1/2013,117.3458
11/1/2013,121.6179
12/1/2013,123.2412
1/1/2014,104.5665
2/1/2014,103.9509
3/1/2014,101.0708
4/1/2014,93.0044
5/1/2014,88.4073
6/1/2014,89.3661
7/1/2014,88.0949
8/1/2014,98.0799
9/1/2014,106.8675
10/1/2014,119.7665
11/1/2014,129.0619
12/1/2014,128.5528
1/1/2015,109.9525
2/1/2015,108.9073
3/1/2015,106.5261
4/1/2015,101.0631
5/1/2015,96.7802
6/1/2015,100.8339
7/1/2015,102.829
8/1/2015,115.903
9/1/2015,115.8964
10/1/2015,126.744
11/1/2015,124.5176
12/1/2015,120.2374
1/1/2016,108.5041
2/1/2016,108.1308
3/1/2016,107.9417
4/1/2016,103.6179
5/1/2016,102.0816
6/1/2016,102.4044
7/1/2016,102.9512
8/1/2016,104.6977
9/1/2016,109.3191
10/1/2016,119.0502
11/1/2016,116.8431
12/1/2016,116.4535
1/1/2017,109.4666
2/1/2017,113.4661
3/1/2017,105.2245
4/1/2017,107.4288
5/1/2017,101.9209
6/1/2017,104.2022
7/1/2017,102.5861
8/1/2017,114.0613
